sample_length_mm,scanning_time_sec,stitching_time_sec
57.0,309.04,29.88
153.0,483.03,78.86
193.5,663.03,151.18
156.0,602.24,68.31
196.5,808.52,125.99
220.5,791.4,138.96
234.0,646.59,150.65
196.2,482.91,70.78
48.0,290.61,32.5
88.5,283.84,57.86
147.0,512.79,84.49
94.5,378.12,54.19
196.5,500.43,102.01
241.5,760.92,178.36
235.8,652.44,157.4
230.4,640.94,152.47
160.2,510.27,109.25
169.2,477.88,90.36
201.0,540.83,63.45
198.0,648.75,65.57
304.2,743.24,151.49
316.8,727.8,130.38
150.0,469.2,113.04
154.5,560.3,87.3
216.0,660.83,94.75
300.6,791.06,124.18
148.5,525.85,97.85
121.5,539.63,86.97
184.5,669.04,150.36
168.0,558.29,74.39
167.4,549.72,50.86
181.8,457.59,101.02
281.4,570.4,75.81
115.5,485.3,38.43
156.0,485.65,57.52
151.5,546.3,55.77
82.5,347.0,32.36
79.5,316.42,28.71
129.6,474.41,47.47
118.8,436.2,29.56
94.5,359.5,35.26
103.5,373.88,46.0
114.0,405.16,38.42
84.0,344.44,29.4
256.8,538.39,45.89
207.9,512.8,50.33
228.6,640.51,64.0
2197.8,2175.72,459.58
9000.0,414.05,35.29
10050.0,443.44,47.01
333.0,873.01,152.47
340.2,982.44,102.09
19800.0,562.32,137.22
17250.0,551.92,90.23
233.1,623.21,60.92
160.2,507.05,38.29
14400.0,489.5,76.09
13800.0,489.86,64.66
1382.4,1736.98,323.22
1166.4,1488.58,233.94
192.6,571.53,56.04
180.0,663.36,47.74
203.4,600.3,77.58
225.0,594.82,115.64
890.4,1562.95,208.6
360.0,791.01,117.56
10800.0,360.53,48.18
286.2,809.65,142.1
114.0,421.76,38.07
99.0,415.57,31.8
79.5,333.71,25.84
136.8,388.67,34.82
600.0,796.72,117.55
588.0,731.02,143.75
319.2,602.17,100.61
247.8,588.98,78.39
190.5,659.39,75.2
154.5,553.29,59.33
156.0,522.57,52.22
223.5,649.44,67.8
229.5,666.45,74.58
127.5,426.22,44.41
241.5,772.58,114.4
217.5,661.36,87.32
210.0,530.51,64.02
163.8,441.78,57.57
108.0,417.25,54.21
142.5,617.65,78.06
506.4,871.33,111.68
828.0,1225.3,171.9
130.5,486.13,47.32
151.5,526.12,58.39
103.5,396.27,42.51
88.5,392.37,33.74
192.0,597.3,60.69
183.0,621.2,51.94
487.2,919.21,174.07
522.9,1177.05,182.54
172.8,467.29,72.0
189.0,383.06,78.59
186.0,539.91,65.36
153.0,604.69,47.35
720.0,1097.69,142.72
720.0,1096.52,98.91
501.9,1079.01,162.74
459.9,999.39,150.94
405.6,665.03,131.88
309.6,561.45,119.18
91.5,405.35,29.04
100.5,411.08,33.22
106.5,463.88,39.34
106.2,400.37,42.83
70.2,254.81,20.79
369.0,874.71,138.98
363.6,919.88,127.77
165.0,588.1,57.06
183.0,534.63,41.55
207.0,499.92,63.97
240.0,736.43,75.87
99.0,341.17,36.57
117.0,371.06,50.26
347.4,747.25,143.41
356.4,823.89,127.76
340.2,766.2,150.45
361.8,793.82,178.7
255.6,821.24,66.77
207.0,753.91,90.5
75.6,299.26,21.71
88.2,326.43,45.05
315.0,732.08,126.55
325.8,677.73,189.46
112.5,391.08,60.76
97.5,351.81,76.59
345.6,765.58,93.52
336.6,789.84,129.59
298.8,636.74,71.75
252.0,576.87,58.68
114.0,359.02,73.54
121.5,384.85,68.67
105.0,364.79,57.5
102.0,425.4,63.4
273.6,663.99,102.39
282.6,519.0,125.6
157.5,454.2,79.88
93.0,426.98,55.59
156.0,473.35,97.62
151.5,449.62,94.63
365.4,859.75,95.85
340.2,581.8,83.25
343.8,802.96,185.56
345.6,824.34,144.19
325.8,734.22,81.8
516.6,890.4,289.72
354.6,767.67,113.06
307.8,702.79,184.63
